username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Ülle,Estonia,Double or Twin Room,4 nights,Couple,02-28-2025 00:00:00,A highly recommended budget accommodation in Baños,10.0,en,"The location was excellent. The hosteria is on a hillside, offering a beautiful mountain view across the town and the valley. At the same time the location is also central, only 10 minutes by foot from the main square and 12 minutes from the bus station (Terminal Terrestre). Our room was clean and comfortable, with two queen beds with four(!) soft pillows. The bathroom had hot water for showering. Normally the room is cleaned every day (they ask if you wish that they do). The breakfast was very good. It consisted of eggs, bread rolls, butter and marmalade with juice and coffee - which is what you normally get for breakfast in Ecuador. But the juice was different every day, the croissants were served warm (not every day, though) and the eggs were prepared in a different way. This is actually a big deal if you've been traveling for a long time. We had established a contact with the hosteria in WhatsApp before arrival and received all possible information regarding our stay in advance. Someone was around and available 24/7, opening the gate and supporting the clients with information about activities etc. We had our laundry done for a very small amount of money that was less than in public laundries. We did not speak Spanish, so were happy to find that the staff spoke varying levels of English. You get a great value for the money you pay.","The only downside was the wifi signal that was a bit weak the room (but much better behind the door). After a month of wandering around Ecuador, I know that this is completely normal and you can expect good wifi only in large cities.","title: A highly recommended budget accommodation in Baños. liked: The location was excellent. The hosteria is on a hillside, offering a beautiful mountain view across the town and the valley. At the same time the location is also central, only 10 minutes by foot from the main square and 12 minutes from the bus station (Terminal Terrestre). Our room was clean and comfortable, with two queen beds with four(!) soft pillows. The bathroom had hot water for showering. Normally the room is cleaned every day (they ask if you wish that they do). The breakfast was very good. It consisted of eggs, bread rolls, butter and marmalade with juice and coffee - which is what you normally get for breakfast in Ecuador. But the juice was different every day, the croissants were served warm (not every day, though) and the eggs were prepared in a different way. This is actually a big deal if you've been traveling for a long time. We had established a contact with the hosteria in WhatsApp before arrival and received all possible information regarding our stay in advance. Someone was around and available 24/7, opening the gate and supporting the clients with information about activities etc. We had our laundry done for a very small amount of money that was less than in public laundries. We did not speak Spanish, so were happy to find that the staff spoke varying levels of English. You get a great value for the money you pay. disliked: The only downside was the wifi signal that was a bit weak the room (but much better behind the door). After a month of wandering around Ecuador, I know that this is completely normal and you can expect good wifi only in large cities.","title: A highly recommended budget accommodation in Baños. liked: The location was excellent. The hosteria is on a hillside, offering a beautiful mountain view across the town and the valley. At the same time the location is also central, only 10 minutes by foot from the main square and 12 minutes from the bus station (Terminal Terrestre). Our room was clean and comfortable, with two queen beds with four(!) soft pillows. The bathroom had hot water for showering. Normally the room is cleaned every day (they ask if you wish that they do). The breakfast was very good. It consisted of eggs, bread rolls, butter and marmalade with juice and coffee - which is what you normally get for breakfast in Ecuador. But the juice was different every day, the croissants were served warm (not every day, though) and the eggs were prepared in a different way. This is actually a big deal if you've been traveling for a long time. We had established a contact with the hosteria in WhatsApp before arrival and received all possible information regarding our stay in advance. Someone was around and available 24/7, opening the gate and supporting the clients with information about activities etc. We had our laundry done for a very small amount of money that was less than in public laundries. We did not speak Spanish, so were happy to find that the staff spoke varying levels of English. You get a great value for the money you pay. disliked: The only downside was the wifi signal that was a bit weak the room (but much better behind the door). After a month of wandering around Ecuador, I know that this is completely normal and you can expect good wifi only in large cities.",0,0,
Denis,Spain,Single Room,4 nights,Solo traveller,06-29-2025 00:00:00,Very good,8.0,en,"The place has a nice open external area to chill, read.",The kitchen salon is a bit dark. There's also a corner with a small library that could be tiden up to make the place more alive.,"title: Very good. liked: The place has a nice open external area to chill, read. disliked: The kitchen salon is a bit dark. There's also a corner with a small library that could be tiden up to make the place more alive.","title: Very good. liked: The place has a nice open external area to chill, read. disliked: The kitchen salon is a bit dark. There's also a corner with a small library that could be tiden up to make the place more alive.",0,0,
Pavol,Slovakia,Single Room,2 nights,Solo traveller,06-19-2025 00:00:00,Superb,9.0,en,The Hosteria is not directly in city center and is more calm. The personal is very kind and helpful. English speaking. Everything was clean and tidy. I was satisfied.,"The hosteria is located at the slope, you have to walk a few minutes uphill to reach it from the city center. But it is very close.","title: Superb. liked: The Hosteria is not directly in city center and is more calm. The personal is very kind and helpful. English speaking. Everything was clean and tidy. I was satisfied. disliked: The hosteria is located at the slope, you have to walk a few minutes uphill to reach it from the city center. But it is very close.","title: Superb. liked: The Hosteria is not directly in city center and is more calm. The personal is very kind and helpful. English speaking. Everything was clean and tidy. I was satisfied. disliked: The hosteria is located at the slope, you have to walk a few minutes uphill to reach it from the city center. But it is very close.",0,0,
Loriunterwegs,Germany,Single Room,2 nights,Solo traveller,06-11-2025 00:00:00,Very good,8.0,en,Nice and quiet place not far from the city center.,-,title: Very good. liked: Nice and quiet place not far from the city center. disliked: -,title: Very good. liked: Nice and quiet place not far from the city center. disliked: -,0,0,
Donald,United States,Single Room,7 nights,Solo traveller,06-08-2025 00:00:00,Superb,9.0,en-us,"The view was great. Overlooking the town, mountains and waterfall.",The walk from town was uphill to the hostel.,"title: Superb. liked: The view was great. Overlooking the town, mountains and waterfall. disliked: The walk from town was uphill to the hostel.","title: Superb. liked: The view was great. Overlooking the town, mountains and waterfall. disliked: The walk from town was uphill to the hostel.",0,0,
Ping,France,Single Room,2 nights,Solo traveller,06-07-2025 00:00:00,Nice hostel,8.0,en,Friendly staff who were accommodating for me arriving very late after a getting a late bus. Spacious rooms with private bathrooms. Good wifi,"Bedside light badly wired got a few electric shocks off it. Accommodation is not very central, have to walk up and down a steep hill to get into the town. That was no problem for me but for people with mobility problems its not ideal.","title: Nice hostel. liked: Friendly staff who were accommodating for me arriving very late after a getting a late bus. Spacious rooms with private bathrooms. Good wifi. disliked: Bedside light badly wired got a few electric shocks off it. Accommodation is not very central, have to walk up and down a steep hill to get into the town. That was no problem for me but for people with mobility problems its not ideal.","title: Nice hostel. liked: Friendly staff who were accommodating for me arriving very late after a getting a late bus. Spacious rooms with private bathrooms. Good wifi. disliked: Bedside light badly wired got a few electric shocks off it. Accommodation is not very central, have to walk up and down a steep hill to get into the town. That was no problem for me but for people with mobility problems its not ideal.",0,0,
Gabriela,Ecuador,Double or Twin Room,1 night,Group,06-02-2025 00:00:00,Confortable and clean room near main part of the town.,9.0,en,"Value for money, room very clean and confortable, parking available, close to main part of the town, helpful staff.",The temperatura of the hot water.,"title: Confortable and clean room near main part of the town. liked: Value for money, room very clean and confortable, parking available, close to main part of the town, helpful staff. disliked: The temperatura of the hot water.","title: Confortable and clean room near main part of the town. liked: Value for money, room very clean and confortable, parking available, close to main part of the town, helpful staff. disliked: The temperatura of the hot water.",0,0,
Rachel,New Zealand,Single Room,2 nights,Solo traveller,05-22-2025 00:00:00,Very good,8.0,en,"Helpful staff, lovely breakfast, clean place with good outdoor spaces and views",It was up a bit of a hill,"title: Very good. liked: Helpful staff, lovely breakfast, clean place with good outdoor spaces and views. disliked: It was up a bit of a hill.","title: Very good. liked: Helpful staff, lovely breakfast, clean place with good outdoor spaces and views. disliked: It was up a bit of a hill.",0,0,
Michelle,Canada,Single Room,1 night,Solo traveller,05-19-2025 00:00:00,"Clean, comfortable, and great value.",9.0,en-us,"Clean, comfortable room, kind staff, excellent value.","Nothing major but they did forget to return a couple of my items when they did my laundry. Luckily, I noticed before leaving and asked them to have a look for these two items and they were able to find and return them. So no harm done in the end.","title: Clean, comfortable, and great value. liked: Clean, comfortable room, kind staff, excellent value. disliked: Nothing major but they did forget to return a couple of my items when they did my laundry. Luckily, I noticed before leaving and asked them to have a look for these two items and they were able to find and return them. So no harm done in the end.","title: Clean, comfortable, and great value. liked: Clean, comfortable room, kind staff, excellent value. disliked: Nothing major but they did forget to return a couple of my items when they did my laundry. Luckily, I noticed before leaving and asked them to have a look for these two items and they were able to find and return them. So no harm done in the end.",0,0,
Francois,Canada,Single Room,1 night,Solo traveller,03-07-2025 00:00:00,Exceptional place!,10.0,en,Great room with a stunning view of the city. The staff was extremely helpful. So much so that I gladly went back to the Llanovientos on my way to Quito. I strongly recommend this hotel.,n/a,title: Exceptional place! liked: Great room with a stunning view of the city. The staff was extremely helpful. So much so that I gladly went back to the Llanovientos on my way to Quito. I strongly recommend this hotel. disliked: n/a.,title: Exceptional place! liked: Great room with a stunning view of the city. The staff was extremely helpful. So much so that I gladly went back to the Llanovientos on my way to Quito. I strongly recommend this hotel. disliked: n/a.,0,0,
